res, i, j
1666, 128, 56
1667, 51, 101
1668, 98, 33
1669, 89, 64
1670, 90, 29
1671, 55, 71
1672, 27, 9
1673, 19, 5
1674, 78, 91
1675, 82, 61
1676, 122, 17
1677, 33, 25
1678, 84, 27
1679, 41, 65
1680, 87, 32
1681, 54, 84
1682, 74, 62
1683, 128, 33
1684, 86, 36
1685, 39, 104
1686, 117, 60
1687, 76, 22
1688, 120, 65
